Name,Description,Price,Quantity
Apples,Fresh red apples (per kg),2.5,100
Bananas,Ripe yellow bananas (per kg),1.8,120
Chicken Breast,Boneless chicken breast (per kg),6.5,50
Whole Wheat Bread,Whole wheat bread loaf,1.2,70
Eggs,Organic free-range eggs (12 pack),3.2,60
Almond Milk,Unsweetened almond milk (1L),2.0,40
Rice,Basmati rice (1kg),1.7,200
Olive Oil,Extra virgin olive oil (500ml),4.5,30
Pasta,Penne pasta (500g),1.1,150
Tomato Sauce,Organic tomato sauce (400g),2.0,100
Cheddar Cheese,Mature cheddar cheese (200g),2.8,80
Cucumber,Fresh cucumber,0.8,90
Potatoes,Baby potatoes (2kg),2.0,110
Broccoli,Fresh broccoli (per bunch),1.5,75
Carrots,Organic carrots (1kg),1.2,85
Beef Mince,Ground beef (500g),4.8,45
Orange Juice,Freshly squeezed orange juice (1L),2.7,60
Cereal,Whole grain breakfast cereal (500g),2.4,70
Oats,Rolled oats (1kg),2.0,90
Honey,Organic wildflower honey (500g),5.2,40
Butter,Unsalted butter (250g),1.8,65
Salmon Fillet,Fresh salmon fillet (per kg),12.0,25
Green Beans,Fresh green beans (500g),2.3,80
Frozen Peas,Frozen garden peas (1kg),1.6,100
Yogurt,Greek yogurt (500g),3.0,50
Almonds,Raw almonds (250g),4.0,60
Avocados,Hass avocados (each),1.5,40
Granola Bars,Oat & nut granola bars (6 pack),3.5,70
Spinach,Fresh baby spinach (200g),1.8,60
Peanut Butter,Crunchy peanut butter (500g),2.9,50
Strawberries,Fresh strawberries (400g),2.5,80
Ice Cream,Vanilla ice cream (1L),3.2,30
Tofu,Organic firm tofu (400g),2.5,40
Lentils,Red lentils (1kg),1.9,120
Dark Chocolate,70% cocoa dark chocolate (100g),2.5,50
Coconut Water,Organic coconut water (500ml),2.8,30
Cashews,Roasted cashews (250g),5.0,45
Whole Chicken,Fresh whole chicken (1.5kg),8.0,25
Tomatoes,Vine-ripened tomatoes (1kg),2.2,100
Mushrooms,Button mushrooms (300g),1.7,70
Cabbage,Fresh green cabbage (per head),1.0,50
Bell Peppers,Mixed bell peppers (3 pack),2.8,90
Frozen Pizza,Margherita frozen pizza (400g),3.0,40
Bacon,Smoked back bacon (250g),3.5,50
Brown Sugar,Light brown sugar (1kg),1.5,60
Bagels,Plain bagels (6 pack),2.2,40
Black Beans,Organic black beans (400g),1.2,80
Coffee Beans,Arabica coffee beans (250g),6.0,50
Tea Bags,English breakfast tea bags (80 pack),3.5,70
Mineral Water,Sparkling mineral water (1.5L),1.0,100
